student_1	85	84	100	84	84	84	94	84	90	82	2	M
student_2	87	90	96	83	84	82	88	79	84	83	2	M
student_3	97	87	86	82	84	94	88	84	93	90	1	M
student_4	88	86	91	82	86	93	79	89	95	98	1	M
student_5	89	82	86	85	85	79	93	80	90	95	3	M
student_6	98	88	85	90	80	87	87	92	89	84	3	M
student_7	91	83	83	76	81	83	84	90	88	93	3	M
student_8	80	78	84	89	82	76	80	83	100	88	3	M
student_9	84	86	98	95	83	89	86	89	90	90	2	M
student_10	85	94	88	100	95	88	83	92	87	90	1	M
student_11	95	85	89	96	87	87	86	94	73	100	2	M
student_12	90	92	89	93	93	89	81	87	79	81	2	M
student_13	90	78	95	78	81	93	98	87	88	89	2	M
student_14	89	88	85	84	87	89	88	87	89	77	2	M
student_15	85	91	82	86	89	84	94	97	90	92	2	M
student_16	99	90	98	92	77	84	72	95	93	95	1	M
student_17	91	89	85	87	89	87	85	93	87	97	2	M
student_18	76	84	84	80	86	90	84	86	95	76	3	M
student_19	92	83	81	98	86	82	81	90	82	90	1	M
student_20	85	82	80	93	79	87	97	90	81	98	3	M
student_21	82	89	85	89	98	94	80	82	81	86	2	M
student_22	87	82	92	95	83	87	90	78	92	87	2	M
student_23	82	85	95	80	86	84	93	92	88	88	2	M
student_24	84	86	92	92	92	86	89	79	93	90	2	M
student_25	84	99	86	85	95	95	83	88	86	92	2	M
student_26	78	84	88	92	82	91	94	90	84	96	2	M
student_27	93	89	84	88	100	95	89	91	86	87	3	M
student_28	89	88	84	92	88	89	82	89	77	89	3	M
student_29	81	82	93	96	90	90	80	84	81	100	3	M
student_30	96	88	82	88	81	85	100	94	79	91	2	M
student_31	91	97	100	94	96	92	84	98	94	89	2	M
student_32	86	91	87	81	93	85	77	93	84	80	2	M
student_33	93	88	89	84	90	79	91	76	93	88	1	M
student_34	93	85	84	97	80	89	90	96	97	87	3	M
student_35	93	76	85	90	76	100	80	88	87	88	3	M
student_36	92	95	80	76	90	93	76	91	90	85	3	M
student_37	91	79	87	80	83	95	87	92	77	84	3	M
student_38	88	92	91	87	97	90	95	87	83	84	3	M
student_39	86	99	90	93	88	84	92	88	88	87	2	M
student_40	86	79	83	87	85	87	85	94	90	96	2	M
student_41	84	92	83	92	86	86	83	92	83	94	1	M
student_42	87	86	85	94	88	85	90	94	100	86	1	M
student_43	80	79	97	98	82	92	89	100	85	78	2	M
student_44	100	79	81	88	78	81	92	92	88	83	2	M
student_45	95	78	87	88	75	93	86	89	92	85	2	M
student_46	81	85	99	77	86	93	93	75	88	89	2	M
student_47	86	79	87	89	81	81	83	100	84	84	3	M
student_48	85	92	80	85	96	92	86	85	94	100	2	M
student_49	93	100	84	82	90	100	92	100	98	86	2	M
student_50	87	80	91	87	72	85	94	90	88	81	2	M
student_51	90	93	86	94	100	93	76	97	91	87	1	F
student_52	88	93	85	76	98	83	89	87	87	82	3	F
student_53	88	90	86	85	92	95	92	91	94	89	1	F
student_54	96	82	89	89	86	89	79	89	81	89	2	F
student_55	87	87	98	83	92	98	91	87	100	90	2	F
student_56	97	86	87	90	73	79	83	87	84	78	3	F
student_57	79	91	94	90	97	88	94	94	79	89	1	F
student_58	92	86	92	88	84	85	91	87	86	90	1	F
student_59	89	94	87	73	95	87	93	76	89	79	2	F
student_60	89	86	79	100	85	84	89	87	98	94	1	F
student_61	90	94	85	87	98	83	93	91	93	93	1	F
student_62	85	82	85	92	80	91	96	92	89	100	1	F
student_63	86	80	88	90	83	81	100	92	80	89	1	F
student_64	82	100	96	94	98	97	88	78	83	88	1	F
student_65	82	85	100	93	80	81	75	90	87	89	1	F
student_66	90	90	97	87	96	89	88	94	100	88	1	F
student_67	91	92	87	90	96	91	89	96	77	77	1	F
student_68	88	85	77	82	94	92	87	87	95	78	2	F
student_69	94	91	86	93	91	86	91	86	85	88	1	F
student_70	100	90	89	85	96	88	94	97	98	85	1	F
student_71	85	87	93	100	97	94	85	78	81	88	1	F
student_72	74	88	94	78	87	79	86	85	89	75	3	F
student_73	94	88	92	85	81	83	90	91	81	79	2	F
student_74	84	100	80	93	99	90	85	78	93	81	1	F
student_75	84	84	93	91	83	85	89	90	97	94	1	F
student_76	94	81	85	84	82	96	76	99	100	81	1	F
student_77	86	88	89	82	97	92	81	88	93	83	1	F
student_78	81	90	88	89	88	88	80	86	99	88	2	F
student_79	89	91	91	88	93	79	83	91	95	86	1	F
student_80	87	85	88	77	84	88	84	86	87	89	3	F
student_81	88	82	78	88	82	86	90	93	91	100	2	F
student_82	90	96	92	89	98	87	94	93	82	81	1	F
student_83	86	86	90	89	93	81	84	88	87	86	1	F
student_84	92	83	86	82	84	91	82	81	95	85	2	F
student_85	87	87	89	91	91	82	82	80	91	97	2	F
student_86	90	87	89	96	91	87	86	84	91	83	2	F
student_87	95	95	89	91	100	90	87	93	82	88	3	F
student_88	91	89	98	81	86	83	91	76	84	93	2	F
student_89	86	93	87	85	100	91	86	77	83	82	1	F
student_90	95	85	89	90	83	80	76	84	90	98	2	F
student_91	94	89	95	84	88	71	87	90	82	92	1	F
student_92	91	86	94	75	93	91	95	83	91	82	2	F
student_93	89	89	95	93	95	93	95	93	81	91	1	F
student_94	84	83	85	83	78	86	83	90	99	87	1	F
student_95	96	80	100	85	76	91	79	87	91	90	1	F
student_96	84	100	88	97	93	81	100	93	84	87	1	F
student_97	100	92	99	83	93	87	87	90	89	94	1	F
student_98	97	80	80	93	81	76	87	85	86	80	3	F
student_99	87	84	88	80	86	95	91	89	90	85	3	F
student_100	82	81	95	86	84	99	78	92	89	87	2	F
